Rooms;Distance;Bathroom;Car;Landsize;BuildingArea;Price
3;13.5;2.0;2.0;422.0;126.0;715000.0
3;13.5;2.0;1.0;161.0;101.0;540000.0
3;13.5;2.0;1.0;293.0;102.0;825000.0
3;13.5;1.0;1.0;579.0;113.0;685000.0
2;13.5;1.0;1.0;141.0;76.0;510000.0
4;13.5;2.0;3.0;628.0;146.0;900000.0
2;3.3;1.0;0.0;120.0;82.0;1275000.0
3;3.3;2.0;0.0;211.0;198.0;2850000.0
3;3.3;2.0;0.0;128.0;133.0;1850000.0
2;3.3;1.0;0.0;130.0;81.0;1436000.0
4;3.3;2.0;1.0;153.0;180.0;2300000.0
3;3.3;2.0;1.0;132.0;159.0;1800000.0
2;3.3;1.0;1.0;199.0;107.0;2120000.0
3;3.3;2.0;1.0;90.0;122.0;1800000.0
3;3.3;2.0;1.0;177.0;181.0;2615000.0
3;3.3;2.0;2.0;0.0;85.0;1370000.0
2;3.3;1.0;0.0;149.0;98.0;1322500.0
2;3.3;1.0;0.0;141.0;83.0;1562500.0
3;3.3;2.0;1.0;211.0;147.0;2000000.0
3;3.3;2.0;0.0;147.0;146.0;3010000.0
4;3.3;3.0;1.0;327.0;254.0;2800000.0
3;3.3;1.0;1.0;120.0;123.0;2100000.0
3;3.3;1.0;1.0;238.0;131.0;2000000.0
1;3.3;1.0;0.0;0.0;34.0;442500.0
4;3.3;2.0;1.0;330.0;207.0;4735000.0
4;3.3;2.0;1.0;183.0;145.0;2140000.0
2;3.3;1.0;0.0;79.0;68.0;980000.0
3;3.3;2.0;2.0;147.0;134.0;1740000.0
1;3.3;1.0;0.0;81.0;54.0;985000.0
4;6.4;2.0;4.0;853.0;263.0;2000000.0
4;6.4;2.0;1.0;599.0;203.0;1717500.0
5;6.4;4.0;4.0;809.0;165.0;2840000.0
2;6.4;1.0;1.0;88.0;60.0;525500.0
2;6.4;2.0;3.0;155.0;140.0;805000.0
4;6.4;2.0;2.0;606.0;112.0;1830000.0
4;6.4;2.0;2.0;575.0;271.0;2100000.0
3;6.4;1.0;1.0;180.0;131.0;865000.0
2;6.4;1.0;1.0;0.0;60.0;390000.0
2;6.4;1.0;1.0;0.0;61.0;512000.0
4;6.4;2.0;2.0;556.0;272.0;1900000.0
4;6.4;2.0;3.0;589.0;210.0;1950000.0
3;13.8;2.0;1.0;352.0;242.0;520000.0
5;13.8;3.0;3.0;729.0;268.0;1525000.0
2;13.8;1.0;2.0;292.0;125.0;720000.0
3;13.8;1.0;2.0;506.0;120.0;1120000.0
4;13.8;3.0;6.0;1057.0;220.0;1780000.0
3;13.8;1.0;2.0;311.0;94.0;630000.0
3;13.8;1.0;1.0;602.0;123.0;660000.0
2;13.8;1.0;1.0;225.0;93.0;580000.0
3;13.8;1.0;4.0;777.0;22.0;1335000.0
2;13.8;1.0;1.0;127.0;76.0;510000.0
2;13.8;1.0;2.0;115.0;57.0;425000.0
3;13.8;2.0;2.0;197.0;152.0;705000.0
2;13.8;1.0;1.0;0.0;65.0;391000.0
4;13.8;1.0;2.0;745.0;130.0;845000.0
3;13.8;2.0;2.0;211.0;176.0;743000.0
3;13.8;2.0;1.0;69.0;141.0;730000.0
2;13.8;1.0;1.0;137.0;77.0;447000.0
3;13.8;1.0;2.0;606.0;87.0;678000.0
2;13.8;2.0;1.0;175.0;76.0;580000.0
3;13.8;2.0;2.0;534.0;136.0;840000.0
3;13.8;2.0;1.0;205.0;113.0;577000.0
2;13.8;2.0;1.0;675.0;100.0;857000.0
3;13.8;2.0;1.0;70.0;3.0;730000.0
2;13.8;1.0;1.0;154.0;91.0;535600.0
5;11.1;3.0;6.0;592.0;251.0;1085000.0
3;11.1;1.0;2.0;533.0;117.0;781000.0
2;11.1;1.0;1.0;77.0;77.0;421000.0
3;11.1;1.0;2.0;534.0;167.0;683000.0
3;11.1;2.0;1.0;0.0;130.0;720000.0
3;11.1;1.0;1.0;328.0;118.0;588000.0
3;11.1;1.0;3.0;540.0;116.0;710000.0
4;11.1;1.0;4.0;559.0;169.0;875000.0
3;11.1;2.0;2.0;171.0;109.0;675000.0
3;11.1;1.0;2.0;585.0;97.0;708000.0
3;11.1;1.0;3.0;602.0;603.0;770000.0
4;11.1;2.0;4.0;315.0;170.0;693000.0
3;11.1;2.0;2.0;276.0;100.0;620000.0
3;11.1;1.0;1.0;531.0;157.0;728500.0
3;11.1;2.0;1.0;590.0;160.0;931000.0
3;11.1;2.0;3.0;555.0;130.0;815000.0
4;11.1;1.0;4.0;633.0;158.0;1200000.0
2;11.1;1.0;1.0;153.0;70.0;292000.0
2;6.3;1.0;1.0;0.0;76.0;599000.0
3;6.3;2.0;2.0;0.0;100.0;995000.0
3;6.3;2.0;2.0;101.0;105.0;1205000.0
3;6.3;2.0;2.0;296.0;150.0;1939000.0
3;6.3;1.0;1.0;217.0;116.0;1870000.0
3;6.3;2.0;2.0;0.0;165.0;1918000.0
3;6.3;2.0;1.0;205.0;116.0;2050000.0
3;6.3;2.0;1.0;2113.0;14.0;735000.0
1;6.3;2.0;1.0;144.0;107.0;1435000.0
1;6.3;1.0;1.0;0.0;38.0;280000.0
2;6.3;1.0;1.0;0.0;73.0;592500.0
2;6.3;1.0;0.0;249.0;96.0;1210000.0
4;6.3;2.0;2.0;624.0;222.0;2801000.0
3;6.3;2.0;2.0;405.0;121.0;1800000.0
4;6.3;1.0;2.0;495.0;163.0;2200000.0
6;6.3;3.0;4.0;1491.0;516.0;5525000.0
1;6.3;1.0;1.0;0.0;53.0;440000.0
3;6.3;1.0;2.0;212.0;106.0;1300000.0
2;6.3;1.0;1.0;0.0;74.0;704000.0
2;6.3;1.0;1.0;0.0;98.0;620000.0
3;6.3;1.0;2.0;328.0;108.0;1900000.0
2;6.3;1.0;1.0;2471.0;80.0;710000.0
2;6.3;1.0;1.0;0.0;88.0;598000.0
3;6.3;1.0;2.0;186.0;80.0;1285000.0
2;6.3;1.0;1.0;0.0;76.0;520000.0
4;6.3;1.0;2.0;709.0;251.0;3625000.0
4;6.3;3.0;3.0;563.0;333.0;4200000.0
3;6.3;1.0;2.0;103.0;3.0;1101000.0
3;6.3;2.0;2.0;617.0;285.0;3512500.0
3;6.3;1.0;1.0;0.0;91.0;869000.0
1;6.3;1.0;1.0;0.0;53.0;567000.0
3;5.9;1.0;2.0;298.0;108.0;940000.0
2;5.9;1.0;1.0;0.0;62.0;467000.0
3;5.9;2.0;2.0;277.0;174.0;1380000.0
2;5.9;1.0;1.0;423.0;62.0;490000.0
4;5.9;3.0;1.0;478.0;270.0;1850000.0
3;5.9;2.0;2.0;285.0;128.0;971000.0
2;5.9;1.0;1.0;214.0;77.0;710000.0
6;5.9;3.0;2.0;1014.0;435.0;2425000.0
2;5.9;1.0;1.0;226.0;92.0;750000.0
2;5.9;1.0;1.0;269.0;109.0;1053000.0
3;5.9;1.0;1.0;417.0;168.0;1377000.0
3;5.9;1.0;2.0;350.0;125.0;970000.0
2;5.9;1.0;1.0;118.0;79.0;751000.0
2;5.9;1.0;1.0;173.0;102.0;950000.0
2;5.9;1.0;2.0;228.0;90.0;685000.0
3;5.9;1.0;2.0;594.0;148.0;1230000.0
2;5.9;1.0;1.0;226.0;87.0;770000.0
4;5.9;1.0;1.0;300.0;185.0;890000.0
3;5.9;1.0;1.0;487.0;131.0;1440000.0
3;5.9;2.0;2.0;440.0;120.0;1000000.0
3;5.9;2.0;2.0;532.0;147.0;1435000.0
1;5.9;1.0;1.0;0.0;58.0;390000.0
3;5.9;2.0;2.0;495.0;139.0;1425000.0
4;5.9;2.0;2.0;683.0;232.0;1340000.0
3;5.9;1.0;1.0;263.0;117.0;955000.0
4;5.9;2.0;5.0;559.0;195.0;1100000.0
2;5.9;1.0;1.0;0.0;62.0;432000.0
4;5.9;3.0;2.0;562.0;204.0;1640000.0
6;5.9;2.0;1.0;461.0;286.0;1430000.0
2;5.9;1.0;1.0;301.0;104.0;610000.0
3;5.9;3.0;1.0;491.0;127.0;940000.0
3;5.9;1.0;1.0;242.0;110.0;890000.0
3;5.9;2.0;2.0;617.0;149.0;1180000.0
4;5.9;2.0;2.0;597.0;180.0;1480000.0
2;5.9;2.0;1.0;146.0;132.0;865000.0
2;5.9;1.0;1.0;0.0;62.0;442000.0
3;5.9;1.0;2.0;506.0;110.0;1037500.0
3;5.9;2.0;2.0;318.0;160.0;1050000.0
2;5.9;1.0;1.0;0.0;65.0;440000.0
4;5.9;2.0;0.0;418.0;158.0;1430000.0
3;5.9;2.0;1.0;272.0;157.0;1130000.0
3;5.9;1.0;1.0;296.0;104.0;1135000.0
4;5.9;2.0;1.0;298.0;147.0;950000.0
3;5.9;2.0;1.0;0.0;148.0;790000.0
2;5.9;1.0;1.0;1957.0;69.0;390000.0
4;5.9;1.0;1.0;552.0;155.0;1345000.0
3;5.9;2.0;2.0;416.0;168.0;1381500.0
3;5.9;2.0;2.0;285.0;172.0;940000.0
3;5.9;2.0;1.0;314.0;177.0;995000.0
3;5.9;2.0;1.0;576.0;120.0;786000.0
2;5.9;1.0;3.0;252.0;108.0;705000.0
2;5.9;1.0;1.0;124.0;77.0;760000.0
3;5.9;2.0;2.0;200.0;144.0;1000000.0
3;5.9;1.0;1.0;278.0;166.0;1305000.0
3;5.9;1.0;1.0;452.0;175.0;1215000.0
2;5.9;1.0;2.0;194.0;71.0;545000.0
4;5.9;2.0;4.0;598.0;273.0;1705000.0
4;11.0;3.0;2.0;753.0;399.0;2650000.0
3;11.0;2.0;2.0;599.0;220.0;1670000.0
3;11.0;3.0;4.0;310.0;315.0;2050000.0
3;11.0;2.0;2.0;731.0;149.0;1555000.0
3;11.0;3.0;2.0;276.0;178.0;1100000.0
3;11.0;1.0;2.0;583.0;112.0;1337000.0
8;11.0;7.0;4.0;1472.0;618.0;2950000.0
3;11.0;2.0;2.0;516.0;145.0;1518000.0
3;11.0;1.0;2.0;806.0;101.0;1710000.0
3;11.0;1.0;3.0;780.0;152.0;1655000.0
4;11.0;2.0;2.0;780.0;180.0;1550000.0
3;11.0;2.0;2.0;351.0;228.0;1662000.0
3;11.0;2.0;3.0;702.0;145.0;1665000.0
5;11.0;5.0;2.0;755.0;444.0;3510000.0
3;11.0;2.0;2.0;153.0;110.0;900000.0
5;11.0;4.0;2.0;1075.0;390.0;2752000.0
3;11.0;2.0;2.0;710.0;139.0;1500000.0
4;11.0;2.0;4.0;749.0;206.0;1800000.0
3;11.0;2.0;3.0;724.0;168.0;1830000.0
3;11.0;1.0;1.0;605.0;111.0;1415000.0
2;11.0;1.0;1.0;687.0;104.0;1440000.0
4;11.0;2.0;2.0;321.0;199.0;1250000.0
5;11.0;3.0;4.0;700.0;266.0;1600000.0
4;11.0;2.0;3.0;696.0;274.0;1860000.0
4;11.0;2.0;2.0;514.0;240.0;1790000.0
4;11.0;2.0;2.0;844.0;278.0;1950000.0
3;11.0;1.0;1.0;697.0;164.0;1650000.0
4;12.2;3.0;2.0;372.0;201.0;1200000.0
2;12.2;1.0;2.0;695.0;114.0;1075000.0
4;12.2;2.0;2.0;621.0;203.0;1500000.0
2;12.2;1.0;2.0;367.0;110.0;700000.0
3;12.2;2.0;4.0;400.0;94.0;761000.0
3;12.2;1.0;1.0;792.0;792.0;1365000.0
4;12.2;2.0;2.0;803.0;152.0;1100000.0
2;12.2;1.0;1.0;216.0;90.0;690000.0
3;12.2;2.0;3.0;782.0;215.0;1631000.0
4;12.2;2.0;1.0;593.0;255.0;1500000.0
5;12.2;3.0;2.0;585.0;317.0;1529500.0
2;12.2;1.0;1.0;153.0;80.0;600000.0
4;12.2;2.0;2.0;766.0;192.0;1240000.0
2;12.2;1.0;2.0;192.0;88.0;700000.0
2;12.2;1.0;1.0;586.0;86.0;1110000.0
3;12.2;1.0;1.0;760.0;120.0;1305000.0
3;12.2;2.0;1.0;320.0;85.0;855000.0
3;12.2;2.0;2.0;256.0;134.0;900500.0
3;12.2;2.0;2.0;839.0;198.0;1200000.0
3;12.2;1.0;2.0;212.0;130.0;830000.0
3;10.5;1.0;1.0;593.0;118.0;850000.0
3;10.5;1.0;1.0;0.0;103.0;750000.0
3;10.5;3.0;1.0;557.0;181.0;851000.0
4;10.5;2.0;2.0;569.0;225.0;1155000.0
3;10.5;1.0;2.0;570.0;120.0;680000.0
3;10.5;1.0;1.0;550.0;143.0;627500.0
4;10.5;3.0;3.0;761.0;281.0;950000.0
3;10.5;1.0;2.0;766.0;149.0;850000.0
3;10.5;1.0;1.0;581.0;106.0;705000.0
4;10.5;3.0;2.0;873.0;395.0;1100000.0
3;10.5;1.0;1.0;586.0;118.0;892500.0
2;10.5;1.0;1.0;220.0;101.0;522500.0
4;10.5;2.0;2.0;554.0;140.0;680000.0
3;10.5;1.0;3.0;812.0;117.0;875000.0
4;10.5;2.0;2.0;589.0;150.0;762000.0
2;10.5;1.0;1.0;0.0;85.0;411000.0
3;10.5;2.0;2.0;593.0;103.0;805000.0
3;10.5;2.0;1.0;582.0;153.0;634000.0
4;6.6;2.0;1.0;244.0;180.0;1819000.0
2;6.6;1.0;2.0;0.0;61.0;410000.0
2;6.6;1.0;2.0;114.0;120.0;1015000.0
2;6.6;1.0;1.0;0.0;65.0;502500.0
2;6.6;1.0;0.0;0.0;58.0;520000.0
2;6.6;1.0;1.0;0.0;61.0;442000.0
3;6.6;1.0;1.0;178.0;100.0;1193000.0
2;6.6;1.0;1.0;0.0;49.0;416000.0
2;6.6;1.0;1.0;0.0;59.0;474000.0
2;6.6;1.0;0.0;159.0;84.0;981000.0
3;6.6;2.0;2.0;339.0;159.0;1690000.0
2;6.6;1.0;1.0;483.0;51.0;540000.0
2;9.7;1.0;1.0;659.0;123.0;2100000.0
4;9.7;2.0;2.0;715.0;218.0;1800000.0
2;9.7;1.0;1.0;208.0;129.0;1255000.0
3;9.7;2.0;2.0;206.0;112.0;1070000.0
5;9.7;3.0;2.0;715.0;420.0;2570000.0
4;9.7;2.0;2.0;744.0;226.0;2400000.0
3;9.7;3.0;2.0;651.0;266.0;2200000.0
5;9.7;5.0;2.0;651.0;410.0;3250000.0
2;9.7;1.0;1.0;122.0;97.0;806000.0
6;9.7;4.0;7.0;2051.0;449.0;4000000.0
5;9.7;3.0;2.0;600.0;356.0;2250000.0
5;9.7;3.0;2.0;678.0;349.0;2800000.0
2;9.7;1.0;1.0;1015.0;166.0;1850000.0
3;9.7;1.0;1.0;188.0;110.0;700000.0
2;9.7;1.0;1.0;0.0;72.0;500000.0
3;9.7;2.0;2.0;699.0;252.0;2125000.0
4;9.7;2.0;2.0;577.0;200.0;1800000.0
2;9.7;1.0;1.0;0.0;70.0;635000.0
2;9.7;1.0;1.0;0.0;73.0;526000.0
3;9.7;1.0;2.0;281.0;150.0;905000.0
4;9.7;3.0;2.0;453.0;308.0;1750000.0
2;9.7;1.0;1.0;121.0;100.0;760000.0
3;9.7;2.0;2.0;219.0;164.0;1367000.0
4;9.7;3.0;2.0;241.0;240.0;1400000.0
4;9.7;2.0;4.0;935.0;241.0;3270000.0
2;9.7;1.0;1.0;115.0;104.0;625000.0
3;9.7;1.0;4.0;671.0;465.0;1860000.0
4;9.7;3.0;2.0;674.0;336.0;2730000.0
2;9.7;1.0;1.0;0.0;79.0;460000.0
2;9.7;1.0;2.0;231.0;98.0;1053000.0
3;9.7;2.0;2.0;306.0;170.0;1472000.0
2;9.7;1.0;1.0;87.0;88.0;754000.0
5;9.7;6.0;4.0;739.0;502.0;3400000.0
4;9.7;2.0;2.0;752.0;253.0;2188000.0
2;9.7;1.0;1.0;213.0;92.0;755000.0
4;9.7;3.0;2.0;1007.0;350.0;3290000.0
4;9.7;2.0;1.0;685.0;207.0;2410000.0
2;9.7;1.0;1.0;0.0;150.0;650000.0
4;9.7;1.0;2.0;739.0;291.0;2000000.0
4;9.7;2.0;1.0;665.0;155.0;1900000.0
3;9.7;2.0;1.0;706.0;166.0;3401000.0
3;9.7;2.0;3.0;613.0;193.0;1750000.0
5;9.7;3.0;2.0;715.0;420.0;3020000.0
5;9.7;2.0;2.0;981.0;260.0;2450000.0
2;9.7;1.0;1.0;130.0;80.0;730000.0
3;9.7;2.0;2.0;404.0;190.0;1500000.0
4;9.7;1.0;1.0;672.0;115.0;1700000.0
3;9.2;2.0;2.0;260.0;167.0;1315000.0
3;9.2;2.0;1.0;778.0;154.0;1500000.0
4;9.2;4.0;3.0;1135.0;275.0;3230000.0
4;9.2;2.0;2.0;647.0;185.0;1905000.0
5;9.2;4.0;2.0;760.0;477.0;3300000.0
4;9.2;2.0;2.0;642.0;215.0;1900000.0
3;9.2;1.0;2.0;888.0;137.0;2251000.0
4;9.2;2.0;2.0;750.0;214.0;2205000.0
3;9.2;2.0;1.0;347.0;160.0;1265000.0
4;9.2;2.0;2.0;673.0;185.0;1750000.0
3;9.2;1.0;2.0;665.0;124.0;1450000.0
4;9.2;2.0;2.0;772.0;150.0;2614000.0
4;9.2;2.0;3.0;736.0;225.0;1825000.0
5;9.2;4.0;2.0;886.0;520.0;3250000.0
3;9.2;2.0;1.0;207.0;144.0;1150000.0
4;9.2;2.0;2.0;662.0;330.0;1572000.0
5;9.2;3.0;2.0;705.0;365.0;1750000.0
4;9.2;2.0;2.0;619.0;254.0;1850000.0
4;9.2;3.0;2.0;1274.0;275.0;2130000.0
5;9.2;4.0;2.0;624.0;154.0;3690000.0
4;9.2;2.0;2.0;610.0;275.0;1740000.0
4;9.2;3.0;2.0;657.0;355.0;2575000.0
4;9.2;2.0;1.0;517.0;247.0;1388800.0
4;9.2;2.0;4.0;587.0;165.0;1800000.0
4;9.2;3.0;2.0;1070.0;247.0;2910000.0
5;9.2;3.0;2.0;900.0;355.0;2200000.0
3;9.2;2.0;3.0;763.0;168.0;1700000.0
3;9.2;3.0;1.0;310.0;188.0;1230000.0
7;9.2;3.0;3.0;637.0;529.0;2600000.0
4;9.2;3.0;2.0;665.0;232.0;1950000.0
5;9.2;2.0;2.0;710.0;170.0;1750000.0
5;9.2;2.0;2.0;1002.0;244.0;2000000.0
3;9.2;1.0;4.0;605.0;116.0;1480000.0
4;9.2;3.0;2.0;1247.0;50.0;3000000.0
3;9.2;1.0;1.0;722.0;90.0;1818000.0
4;9.2;2.0;2.0;1235.0;196.0;2525000.0
4;9.2;3.0;1.0;904.0;420.0;3360000.0
3;9.2;1.0;2.0;713.0;720.0;1903000.0
4;9.2;3.0;2.0;869.0;170.0;1720000.0
4;9.2;2.0;2.0;667.0;201.0;1675000.0
4;9.2;3.0;1.0;362.0;200.0;1680000.0
5;9.2;5.0;4.0;1364.0;518.0;4000000.0
4;9.2;2.0;2.0;1010.0;250.0;2205000.0
3;9.2;2.0;3.0;949.0;175.0;2100000.0
2;9.2;1.0;1.0;177.0;85.0;685000.0
6;9.2;1.0;6.0;691.0;5.0;1900000.0
3;9.2;2.0;2.0;368.0;177.0;1335000.0
4;9.2;2.0;4.0;587.0;165.0;1900000.0
2;9.2;1.0;1.0;250.0;112.0;1040000.0
4;9.2;2.0;2.0;644.0;153.0;1250000.0
5;9.2;3.0;2.0;842.0;200.0;1875000.0
4;9.2;2.0;2.0;701.0;198.0;1530000.0
4;9.2;2.0;5.0;754.0;175.0;1700000.0
3;9.2;1.0;2.0;657.0;151.0;1651000.0
5;9.2;3.0;2.0;900.0;355.0;1920000.0
5;9.2;2.0;3.0;845.0;199.0;1560000.0
3;9.2;2.0;1.0;207.0;144.0;1038000.0
5;9.2;3.0;2.0;737.0;193.0;1660000.0
3;9.2;2.0;1.0;720.0;147.0;1770000.0
2;9.2;1.0;1.0;0.0;102.0;691500.0
3;13.0;1.0;2.0;348.0;121.0;875000.0
3;13.0;2.0;2.0;613.0;143.0;1425000.0
2;13.0;1.0;1.0;140.0;250.0;851000.0
3;13.0;2.0;2.0;299.0;181.0;1222500.0
3;13.0;1.0;1.0;576.0;127.0;1317500.0
2;13.0;1.0;1.0;0.0;69.0;360000.0
4;13.0;3.0;2.0;291.0;212.0;1435000.0
3;13.0;1.0;2.0;692.0;164.0;1110000.0
4;13.0;2.0;2.0;795.0;250.0;2435000.0
3;13.0;2.0;1.0;565.0;222.0;1500000.0
4;13.0;2.0;2.0;697.0;194.0;1300000.0
3;13.0;1.0;2.0;584.0;116.0;1125000.0
4;13.0;2.0;2.0;610.0;112.0;1328000.0
3;13.0;2.0;1.0;526.0;135.0;1340000.0
4;13.0;3.0;2.0;271.0;205.0;1155000.0
3;13.0;1.0;4.0;758.0;138.0;1275000.0
2;13.0;1.0;1.0;296.0;103.0;855000.0
2;13.0;1.0;1.0;116.0;92.0;650000.0
4;13.0;2.0;4.0;902.0;233.0;1815000.0
4;13.0;3.0;2.0;557.0;353.0;2255000.0
2;13.0;2.0;3.0;226.0;475.0;855000.0
4;13.0;2.0;3.0;855.0;197.0;1860000.0
2;13.0;1.0;1.0;227.0;100.0;725000.0
3;13.0;1.0;1.0;632.0;108.0;1293000.0
3;13.0;2.0;2.0;690.0;245.0;1328000.0
4;13.0;2.0;3.0;354.0;255.0;1247000.0
3;13.0;1.0;2.0;624.0;143.0;1370000.0
3;13.0;2.0;1.0;581.0;170.0;1095000.0
2;13.0;1.0;1.0;677.0;88.0;725000.0
3;13.0;2.0;2.0;147.0;149.0;825000.0
3;13.0;2.0;2.0;0.0;160.0;1235000.0
3;13.0;1.0;2.0;694.0;125.0;1165000.0
4;13.0;2.0;4.0;736.0;284.0;1910000.0
2;13.0;1.0;3.0;336.0;109.0;820000.0
4;13.0;2.0;2.0;611.0;168.0;1430000.0
2;13.0;1.0;2.0;274.0;96.0;910000.0
4;13.0;4.0;2.0;579.0;361.0;2520000.0
5;13.0;2.0;2.0;567.0;250.0;1900000.0
4;13.0;2.0;2.0;384.0;766.0;1150000.0
2;13.0;2.0;1.0;123.0;90.0;670000.0
2;13.0;1.0;1.0;83.0;107.0;680000.0
4;13.0;3.0;3.0;346.0;220.0;1320000.0
6;13.0;3.0;2.0;708.0;275.0;1900000.0
3;13.0;2.0;2.0;572.0;150.0;1535000.0
4;13.0;1.0;5.0;594.0;150.0;1281000.0
5;13.0;2.0;2.0;664.0;178.0;1385000.0
4;13.0;4.0;2.0;579.0;361.0;2620000.0
2;13.9;2.0;1.0;176.0;125.0;825000.0
2;13.9;1.0;2.0;281.0;95.0;746000.0
5;13.9;2.0;2.0;683.0;190.0;1275000.0
3;13.9;2.0;2.0;384.0;120.0;1025000.0
2;13.9;1.0;1.0;76.0;79.0;495000.0
4;13.9;2.0;2.0;585.0;178.0;1220000.0
3;13.9;1.0;2.0;565.0;110.0;885000.0
3;13.9;2.0;2.0;292.0;141.0;830000.0
4;13.9;3.0;2.0;291.0;222.0;1210000.0
4;13.9;2.0;2.0;321.0;180.0;1160000.0
3;13.9;2.0;3.0;730.0;110.0;1215000.0
4;13.9;2.0;2.0;619.0;191.0;1200000.0
3;13.9;2.0;2.0;627.0;140.0;1050000.0
5;13.9;2.0;4.0;618.0;146.0;950000.0
2;13.9;2.0;1.0;0.0;78.0;380000.0
2;13.9;1.0;1.0;169.0;87.0;689000.0
3;13.9;2.0;2.0;610.0;177.0;1338000.0
2;13.9;1.0;1.0;265.0;150.0;651000.0
3;13.9;2.0;2.0;590.0;118.0;1390000.0
3;13.9;1.0;2.0;578.0;163.0;1100000.0
4;13.9;1.0;1.0;636.0;138.0;1206000.0
2;13.9;1.0;1.0;0.0;75.0;486500.0
4;13.9;2.0;2.0;604.0;177.0;1415000.0
4;13.9;2.0;2.0;305.0;207.0;1185000.0
4;13.9;3.0;1.0;313.0;166.0;1060000.0
3;13.9;2.0;2.0;295.0;145.0;845000.0
3;13.9;2.0;1.0;254.0;117.0;860000.0
3;13.9;2.0;2.0;167.0;140.0;921000.0
2;13.9;1.0;1.0;300.0;135.0;742500.0
3;13.9;2.0;2.0;578.0;120.0;920000.0
4;13.9;1.0;2.0;658.0;112.0;1010000.0
2;13.9;1.0;1.0;591.0;102.0;702000.0
3;13.9;2.0;1.0;268.0;117.0;805000.0
4;13.9;2.0;1.0;274.0;190.0;1100000.0
3;13.9;1.0;4.0;726.0;131.0;1050000.0
2;13.9;2.0;1.0;201.0;79.0;722000.0
3;13.9;1.0;2.0;588.0;133.0;930000.0
3;13.9;2.0;1.0;291.0;119.0;921000.0
4;13.9;1.0;2.0;610.0;160.0;1035000.0
4;13.9;2.0;2.0;618.0;196.0;1352000.0
4;13.9;2.0;2.0;296.0;205.0;1005000.0
5;13.9;2.0;2.0;659.0;315.0;1600000.0
3;13.9;1.0;1.0;721.0;120.0;1200000.0
3;13.9;2.0;2.0;421.0;126.0;780000.0
4;13.9;2.0;2.0;314.0;231.0;1250000.0
4;13.9;2.0;2.0;583.0;176.0;1110000.0
4;13.9;2.0;2.0;700.0;165.0;1690000.0
3;13.9;3.0;1.0;391.0;122.0;791000.0
3;13.9;1.0;3.0;780.0;140.0;900000.0
3;13.9;2.0;2.0;267.0;156.0;970000.0
3;13.9;2.0;2.0;213.0;143.0;823000.0
4;13.9;2.0;1.0;316.0;190.0;1045000.0
2;13.9;1.0;1.0;154.0;80.0;655000.0
5;13.9;3.0;2.0;623.0;257.0;1550000.0
