Unnamed: 0;city;area;rooms;bathroom;parking spaces;floor;animal;furniture;hoa;rent amount;property tax;fire insurance;total
30.0;1.0;70.0;2.0;1.0;0.0;1;acept;not furnished;R$521;R$3,000;R$50;R$39;R$3,610
31.0;1.0;120.0;3.0;1.0;4.0;-;acept;not furnished;R$0;R$3,500;R$234;R$53;R$3,787
32.0;1.0;250.0;3.0;4.0;2.0;-;acept;not furnished;R$300;R$3,480;R$360;R$53;R$4,193
33.0;1.0;50.0;1.0;1.0;0.0;1;acept;not furnished;R$325;R$1,550;R$25;R$20;R$1,920
34.0;1.0;240.0;3.0;3.0;3.0;3;acept;not furnished;R$4,132;R$3,800;R$952;R$49;R$8,933
35.0;1.0;250.0;4.0;4.0;2.0;-;not acept;not furnished;Sem info;R$6,600;R$0;R$100;R$6,700
36.0;0.0;94.0;3.0;3.0;2.0;1;acept;not furnished;R$750;R$2,200;R$192;R$28;R$3,170
37.0;1.0;176.0;3.0;4.0;3.0;4;acept;not furnished;R$1,600;R$6,500;R$775;R$83;R$8,958
38.0;1.0;180.0;3.0;4.0;5.0;-;acept;not furnished;Sem info;R$3,300;R$266;R$50;R$3,616
39.0;1.0;191.0;3.0;3.0;4.0;1;acept;furnished;R$2,605;R$15,000;R$1,299;R$191;R$19,100
40.0;1.0;25.0;1.0;1.0;0.0;14;acept;not furnished;R$257;R$1,698;R$0;R$22;R$1,977
41.0;1.0;800.0;4.0;5.0;4.0;9;acept;not furnished;R$6,000;R$15,000;R$3,334;R$191;R$24,530
42.0;1.0;340.0;3.0;4.0;3.0;-;acept;furnished;R$0;R$9,800;R$392;R$148;R$10,340
43.0;1.0;90.0;2.0;1.0;0.0;-;not acept;not furnished;R$0;R$1,450;R$50;R$22;R$1,522
44.0;0.0;650.0;5.0;4.0;8.0;-;acept;furnished;R$0;R$8,500;R$442;R$128;R$9,070
45.0;1.0;100.0;2.0;2.0;0.0;1;acept;not furnished;R$0;R$2,700;R$265;R$35;R$3,000
46.0;1.0;230.0;4.0;4.0;4.0;1;acept;furnished;R$2,300;R$13,500;R$1,084;R$172;R$17,060
47.0;1.0;190.0;2.0;3.0;2.0;-;acept;not furnished;R$0;R$13,050;R$1,284;R$197;R$14,530
48.0;1.0;205.0;4.0;4.0;6.0;5;acept;not furnished;R$2,450;R$2,720;R$959;R$35;R$6,164
49.0;1.0;96.0;3.0;3.0;2.0;8;acept;not furnished;R$866;R$1,790;R$90;R$23;R$2,769
50.0;1.0;396.0;4.0;4.0;4.0;-;acept;not furnished;R$0;R$10,000;R$750;R$151;R$10,900
51.0;0.0;74.0;3.0;2.0;1.0;7;acept;not furnished;R$650;R$1,600;R$250;R$21;R$2,521
52.0;0.0;30.0;1.0;1.0;0.0;5;not acept;furnished;R$380;R$500;R$10;R$7;R$897
53.0;1.0;64.0;3.0;2.0;1.0;7;acept;not furnished;R$522;R$1,400;R$65;R$18;R$2,005
54.0;1.0;105.0;3.0;2.0;2.0;1;acept;furnished;R$1,544;R$7,800;R$488;R$99;R$9,931
55.0;1.0;50.0;1.0;2.0;1.0;10;acept;furnished;R$1,050;R$5,900;R$259;R$75;R$7,284
56.0;1.0;60.0;2.0;1.0;0.0;3;not acept;not furnished;R$400;R$1,300;R$0;R$17;R$1,717
57.0;1.0;50.0;2.0;1.0;1.0;6;acept;furnished;R$585;R$2,000;R$49;R$26;R$2,660
58.0;1.0;90.0;2.0;2.0;0.0;-;acept;not furnished;R$0;R$1,700;R$38;R$26;R$1,764
59.0;1.0;130.0;3.0;2.0;1.0;8;not acept;furnished;R$1,200;R$7,500;R$417;R$96;R$9,213
60.0;1.0;20.0;1.0;1.0;0.0;1;not acept;furnished;Incluso;R$1,950;R$0;R$25;R$1,975
61.0;1.0;400.0;4.0;3.0;2.0;-;acept;not furnished;R$0;R$5,650;R$338;R$85;R$6,073
62.0;1.0;220.0;3.0;3.0;5.0;-;acept;not furnished;R$0;R$7,500;R$0;R$113;R$7,613
63.0;1.0;750.0;7.0;6.0;5.0;-;acept;furnished;R$0;R$5,800;R$559;R$88;R$6,447
64.0;1.0;20.0;1.0;1.0;0.0;-;acept;furnished;R$602;R$1,800;R$130;R$23;R$2,555
65.0;0.0;140.0;3.0;2.0;2.0;15;not acept;not furnished;R$998;R$2,100;R$283;R$27;R$3,408
66.0;1.0;22.0;1.0;1.0;0.0;-;not acept;not furnished;R$250;R$1,080;R$14;R$14;R$1,358
67.0;1.0;345.0;2.0;3.0;2.0;4;not acept;not furnished;R$3,655;R$12,000;R$783;R$153;R$16,590
68.0;0.0;46.0;2.0;1.0;1.0;3;not acept;not furnished;R$250;R$1,100;R$53;R$5;R$1,408
69.0;1.0;35.0;1.0;1.0;1.0;2;not acept;furnished;R$550;R$3,250;R$30;R$42;R$3,872
70.0;0.0;72.0;2.0;2.0;1.0;2;acept;not furnished;R$500;R$1,200;R$97;R$16;R$1,813
71.0;1.0;60.0;1.0;1.0;2.0;2;not acept;not furnished;R$3,398;R$1,900;R$288;R$25;R$5,611
72.0;1.0;180.0;3.0;2.0;4.0;-;not acept;furnished;R$0;R$11,000;R$667;R$166;R$11,830
73.0;1.0;83.0;3.0;2.0;1.0;9;not acept;furnished;R$805;R$3,300;R$80;R$42;R$4,227
74.0;1.0;50.0;1.0;1.0;0.0;1;acept;not furnished;R$519;R$1,550;R$28;R$20;R$2,117
75.0;1.0;38.0;1.0;1.0;1.0;14;not acept;furnished;R$1,620;R$3,020;R$279;R$39;R$4,958
76.0;1.0;140.0;3.0;3.0;2.0;2;acept;not furnished;R$1,300;R$2,800;R$292;R$36;R$4,428
77.0;0.0;62.0;2.0;1.0;1.0;3;acept;not furnished;R$485;R$980;R$48;R$13;R$1,526
78.0;1.0;70.0;1.0;1.0;0.0;2;acept;furnished;R$1,500;R$4,000;R$284;R$51;R$5,835
79.0;0.0;55.0;1.0;1.0;0.0;14;acept;not furnished;R$600;R$1,100;R$60;R$14;R$1,774
80.0;0.0;60.0;2.0;1.0;1.0;1;not acept;not furnished;R$430;R$815;R$20;R$6;R$1,271
81.0;1.0;85.0;2.0;2.0;1.0;6;acept;not furnished;R$1,250;R$1,738;R$261;R$23;R$3,272
82.0;1.0;134.0;3.0;3.0;3.0;11;not acept;not furnished;R$1,655;R$8,000;R$380;R$102;R$10,140
83.0;1.0;200.0;3.0;2.0;2.0;19;acept;not furnished;R$2,573;R$10,000;R$1,121;R$127;R$13,820
84.0;1.0;170.0;3.0;2.0;2.0;-;acept;furnished;R$0;R$3,900;R$267;R$59;R$4,226
85.0;1.0;46.0;1.0;1.0;2.0;16;acept;furnished;R$2,210;R$6,220;R$255;R$79;R$8,764
86.0;1.0;20.0;1.0;1.0;0.0;4;acept;furnished;R$602;R$1,800;R$130;R$23;R$2,555
87.0;1.0;58.0;2.0;2.0;1.0;5;not acept;furnished;R$1,000;R$4,500;R$144;R$58;R$5,702
88.0;1.0;96.0;3.0;2.0;3.0;4;acept;not furnished;R$1,024;R$2,350;R$313;R$30;R$3,717
;;;;;;;;not furnished;R$3,000;R$13,000;R$84;R$165;R$16,250
90.0;1.0;87.0;3.0;2.0;4.0;14;acept;not furnished;R$800;R$2,000;R$67;R$26;R$2,893
91.0;1.0;42.0;1.0;1.0;0.0;5;acept;not furnished;R$350;R$2,400;R$94;R$31;R$2,875
92.0;1.0;145.0;3.0;3.0;1.0;10;acept;furnished;R$1,380;R$11,000;R$375;R$140;R$12,900
93.0;1.0;250.0;4.0;6.0;4.0;12;not acept;not furnished;R$3,000;R$14,500;R$875;R$184;R$18,560
94.0;1.0;90.0;2.0;1.0;1.0;1;acept;not furnished;R$1,000;R$3,000;R$50;R$39;R$4,089
95.0;1.0;250.0;6.0;2.0;2.0;-;acept;not furnished;R$0;R$2,472;R$26;R$38;R$2,536
96.0;1.0;500.0;3.0;4.0;5.0;-;acept;furnished;R$0;R$7,620;R$1,094;R$115;R$8,829
97.0;1.0;80.0;2.0;2.0;2.0;6;acept;furnished;R$1,581;R$8,800;R$112;R$112;R$10,610
98.0;0.0;120.0;3.0;2.0;3.0;-;acept;not furnished;R$0;R$2,500;R$180;R$38;R$2,718
99.0;0.0;265.0;3.0;3.0;2.0;-;acept;not furnished;R$0;R$2,400;R$140;R$37;R$2,577
100.0;0.0;50.0;2.0;1.0;1.0;4;acept;not furnished;R$330;R$1,080;R$0;R$14;R$1,424
101.0;0.0;126.0;3.0;3.0;2.0;1;acept;not furnished;R$780;R$3,800;R$167;R$49;R$4,796
102.0;0.0;55.0;2.0;1.0;1.0;1;acept;not furnished;R$390;R$720;R$0;R$10;R$1,120
103.0;1.0;29.0;1.0;1.0;1.0;20;acept;furnished;R$700;R$2,700;R$84;R$35;R$3,519
104.0;1.0;59.0;2.0;1.0;1.0;24;acept;not furnished;R$514;R$2,450;R$138;R$32;R$3,134
105.0;1.0;200.0;2.0;4.0;4.0;4;acept;not furnished;R$2,450;R$7,800;R$1,417;R$99;R$11,770
106.0;1.0;74.0;3.0;2.0;1.0;7;acept;not furnished;R$577;R$2,196;R$100;R$28;R$2,901
107.0;1.0;290.0;4.0;5.0;2.0;6;acept;not furnished;R$4,300;R$10,000;R$875;R$127;R$15,300
108.0;1.0;172.0;3.0;4.0;3.0;1;acept;not furnished;R$1,596;R$8,000;R$820;R$102;R$10,520
109.0;1.0;25.0;1.0;1.0;0.0;5;not acept;furnished;R$270;R$2,600;R$67;R$33;R$2,970
110.0;1.0;50.0;1.0;1.0;1.0;-;acept;not furnished;R$0;R$1,100;R$0;R$17;R$1,117
111.0;1.0;40.0;1.0;1.0;0.0;3;acept;not furnished;R$300;R$1,100;R$0;R$14;R$1,414
112.0;1.0;80.0;2.0;2.0;2.0;-;acept;not furnished;R$0;R$2,465;R$0;R$38;R$2,503
113.0;1.0;280.0;6.0;6.0;3.0;-;acept;not furnished;R$0;R$5,000;R$1,118;R$76;R$6,194
114.0;1.0;60.0;1.0;1.0;1.0;12;acept;furnished;R$850;R$4,723;R$0;R$18;R$5,591
115.0;1.0;115.0;2.0;3.0;2.0;8;acept;not furnished;R$1,380;R$12,000;R$790;R$153;R$14,320
116.0;1.0;540.0;3.0;3.0;4.0;9;acept;not furnished;R$6,200;R$15,000;R$3,500;R$191;R$24,890
117.0;1.0;76.0;2.0;1.0;1.0;12;not acept;furnished;R$906;R$4,250;R$217;R$54;R$5,427
118.0;0.0;150.0;4.0;5.0;2.0;1;acept;not furnished;R$1,100;R$2,980;R$360;R$38;R$4,478
119.0;1.0;130.0;3.0;2.0;1.0;8;acept;not furnished;R$2,400;R$5,500;R$209;R$70;R$8,179
120.0;0.0;64.0;2.0;1.0;1.0;-;acept;not furnished;R$441;R$730;R$18;R$10;R$1,199
121.0;1.0;55.0;2.0;2.0;1.0;2;acept;not furnished;R$420;R$1,300;R$50;R$17;
122.0;1.0;50.0;1.0;1.0;0.0;1;acept;not furnished;R$600;R$1,300;R$0;R$17;R$1,917
123.0;1.0;120.0;2.0;3.0;2.0;20;acept;not furnished;R$2,000;R$7,000;R$180;R$89;R$9,269
124.0;0.0;236.0;3.0;4.0;4.0;10;acept;not furnished;R$1,600;R$11,000;R$440;R$140;R$13,180
125.0;0.0;30.0;1.0;1.0;0.0;4;acept;not furnished;R$336;R$550;R$10;R$7;R$903
126.0;0.0;270.0;3.0;3.0;0.0;-;acept;furnished;R$0;R$8,000;R$500;R$121;R$8,621
127.0;0.0;48.0;1.0;1.0;0.0;9;acept;not furnished;R$350;R$670;R$21;R$9;R$1,050
128.0;0.0;198.0;6.0;3.0;4.0;-;acept;not furnished;R$0;R$2,000;R$145;R$31;R$2,176
129.0;1.0;50.0;1.0;1.0;0.0;-;acept;not furnished;R$0;R$1,080;R$59;R$17;R$1,156
130.0;1.0;185.0;3.0;3.0;3.0;20;acept;not furnished;R$2,670;R$5,600;R$907;R$71;R$9,248
131.0;1.0;440.0;4.0;4.0;4.0;-;acept;not furnished;R$0;R$12,000;R$2,500;R$181;R$14,680
132.0;0.0;119.0;3.0;2.0;2.0;7;acept;not furnished;R$1,650;R$1,200;R$212;R$16;R$3,078
133.0;1.0;57.0;2.0;2.0;2.0;16;acept;not furnished;R$510;R$1,690;R$11;R$22;R$2,233
134.0;1.0;65.0;2.0;1.0;1.0;1;acept;not furnished;R$100;R$1,400;R$84;R$18;R$1,602
135.0;1.0;35.0;2.0;1.0;1.0;-;acept;not furnished;R$125;R$2,100;R$0;R$32;R$2,257
136.0;0.0;51.0;1.0;2.0;1.0;16;not acept;not furnished;R$703;R$2,100;R$150;R$27;R$2,980
137.0;0.0;70.0;2.0;3.0;1.0;7;acept;not furnished;R$1,196;R$2,004;R$0;R$26;R$3,226
138.0;1.0;90.0;2.0;1.0;1.0;-;acept;not furnished;Incluso;R$1,500;R$0;R$23;R$1,523
139.0;1.0;320.0;3.0;4.0;3.0;8;acept;not furnished;R$3,400;R$6,800;R$1;R$87;R$10,290
140.0;1.0;250.0;7.0;5.0;2.0;-;acept;not furnished;R$0;R$12,750;R$1,045;R$192;R$13,990
141.0;1.0;70.0;2.0;1.0;1.0;6;acept;not furnished;R$660;R$3,800;R$45;R$49;R$4,554
142.0;1.0;169.0;4.0;6.0;3.0;7;acept;furnished;R$2,560;R$10,000;R$734;R$127;R$13,420
143.0;1.0;33.0;1.0;1.0;0.0;1;not acept;not furnished;R$338;R$1,100;R$63;R$14;R$1,515
144.0;1.0;225.0;4.0;4.0;3.0;7;acept;not furnished;R$2,800;R$5,000;R$1,267;R$64;R$9,131
145.0;1.0;42.0;1.0;1.0;0.0;2;acept;furnished;R$0;R$3,256;R$0;R$42;R$3,298
146.0;1.0;120.0;3.0;4.0;1.0;-;not acept;not furnished;R$0;R$4,000;R$4;R$61;R$4,065
147.0;1.0;70.0;3.0;2.0;2.0;3;not acept;not furnished;R$750;R$1,500;R$148;R$20;R$2,418
148.0;1.0;90.0;1.0;1.0;2.0;-;acept;furnished;R$0;R$3,200;R$137;R$49;R$3,386
149.0;1.0;260.0;4.0;5.0;4.0;9;acept;furnished;R$2,014;R$3,300;R$1,000;R$42;R$6,356
150.0;1.0;243.0;3.0;3.0;4.0;10;acept;not furnished;R$2,678;R$5,500;R$1,950;R$70;R$10,200
151.0;1.0;100.0;1.0;1.0;0.0;-;acept;not furnished;R$0;R$1,530;R$0;R$12;R$1,542
152.0;1.0;240.0;3.0;4.0;3.0;9;acept;not furnished;R$3,211;R$5,100;R$1,102;R$65;R$9,478
153.0;0.0;45.0;1.0;1.0;1.0;4;acept;not furnished;R$700;R$870;R$46;R$12;R$1,628
154.0;1.0;65.0;1.0;1.0;1.0;2;acept;furnished;R$680;R$5,000;R$14;R$64;R$5,758
155.0;1.0;47.0;1.0;1.0;0.0;4;not acept;not furnished;R$100;R$1,000;R$76;R$13;R$1,189
156.0;1.0;60.0;2.0;1.0;0.0;2;acept;furnished;R$589;R$3,300;R$65;R$42;R$3,996
157.0;1.0;340.0;4.0;6.0;6.0;-;acept;furnished;Sem info;R$15,000;R$250;R$226;R$15,480
158.0;1.0;500.0;4.0;4.0;0.0;-;acept;not furnished;R$0;R$6,000;R$467;R$91;R$6,558
159.0;1.0;55.0;2.0;1.0;1.0;14;acept;not furnished;R$420;R$1,399;R$0;R$18;R$1,837
160.0;1.0;240.0;3.0;4.0;3.0;3;acept;furnished;R$3,600;R$4,950;R$1,000;R$63;R$9,613
161.0;1.0;65.0;2.0;2.0;1.0;1;acept;not furnished;R$650;R$2,315;R$0;R$7;R$2,972
162.0;1.0;68.0;1.0;1.0;0.0;-;not acept;not furnished;R$0;R$1,213;R$0;R$6;R$1,219
163.0;1.0;500.0;4.0;4.0;3.0;-;acept;not furnished;Sem info;R$10,800;R$988;R$163;R$11,950
164.0;1.0;198.0;2.0;2.0;2.0;13;acept;not furnished;R$1,700;R$5,500;R$320;R$70;R$7,590
165.0;1.0;62.0;2.0;1.0;1.0;13;acept;not furnished;R$543;R$2,200;R$59;R$28;R$2,830
166.0;1.0;60.0;2.0;2.0;1.0;4;acept;not furnished;R$632;R$2,806;R$25;R$36;R$3,499
167.0;1.0;187.0;3.0;2.0;3.0;-;not acept;furnished;R$1,700;R$8,400;R$584;R$127;R$10,810
168.0;1.0;25.0;1.0;1.0;0.0;23;acept;not furnished;R$432;R$2,200;R$45;R$28;R$2,705
169.0;1.0;230.0;3.0;4.0;3.0;-;acept;not furnished;R$0;R$3,600;R$409;R$55;R$4,064
170.0;1.0;17.0;1.0;1.0;0.0;1;not acept;furnished;R$300;R$2,400;R$50;R$31;R$2,781
171.0;1.0;67.0;2.0;2.0;1.0;17;acept;not furnished;R$740;R$2,200;R$170;R$28;R$3,138
172.0;1.0;20.0;1.0;1.0;0.0;1;acept;furnished;Incluso;R$2,060;R$0;R$27;R$2,087
173.0;1.0;118.0;3.0;2.0;2.0;7;acept;furnished;R$1,880;R$8,500;R$434;R$108;R$10,920
174.0;1.0;43.0;1.0;1.0;1.0;2;acept;not furnished;R$850;R$2,430;R$172;R$31;R$3,483
175.0;1.0;195.0;2.0;3.0;1.0;10;acept;not furnished;R$1,500;R$6,000;R$334;R$77;R$7,911
176.0;1.0;141.0;3.0;4.0;3.0;7;not acept;not furnished;R$1,646;R$7,500;R$735;R$96;R$9,977
177.0;1.0;45.0;1.0;1.0;1.0;1;not acept;not furnished;R$550;R$2,300;R$0;R$30;R$2,880
178.0;1.0;48.0;1.0;1.0;1.0;19;acept;not furnished;R$588;R$1,525;R$0;R$6;R$2,119
179.0;1.0;280.0;3.0;4.0;2.0;3;not acept;not furnished;R$4,000;R$6,000;R$1,059;R$77;R$11,140
180.0;1.0;170.0;3.0;2.0;2.0;5;not acept;not furnished;R$2,199;R$5,000;R$423;R$64;R$7,686
181.0;1.0;90.0;3.0;2.0;1.0;-;acept;not furnished;R$0;R$3,260;R$0;R$50;R$3,310
182.0;0.0;35.0;1.0;1.0;1.0;7;acept;not furnished;R$392;R$1,100;R$13;R$14;R$1,519
183.0;1.0;16.0;1.0;1.0;0.0;8;not acept;not furnished;R$390;R$2,300;R$100;R$30;R$2,820
184.0;0.0;68.0;1.0;1.0;1.0;10;not acept;furnished;R$600;R$1,000;R$48;R$13;R$1,661
185.0;1.0;80.0;3.0;5.0;2.0;4;not acept;not furnished;R$3,460;R$12,000;R$1,000;R$153;R$16,610
186.0;1.0;190.0;3.0;2.0;1.0;6;acept;furnished;R$3,040;R$8,000;R$556;R$102;R$11,700
187.0;1.0;150.0;3.0;4.0;2.0;-;not acept;not furnished;R$0;R$3,400;R$0;R$52;R$3,452
188.0;1.0;112.0;3.0;3.0;2.0;12;acept;furnished;R$1,100;R$2,670;R$188;R$34;R$3,992
189.0;1.0;145.0;3.0;4.0;3.0;1;not acept;not furnished;R$1,200;R$6,000;R$750;R$77;R$8,027
190.0;0.0;47.0;1.0;1.0;1.0;8;acept;not furnished;R$560;R$1,100;R$46;R$14;R$1,720
191.0;1.0;128.0;3.0;2.0;1.0;3;acept;furnished;R$1,094;R$4,529;R$242;R$58;R$5,923
192.0;1.0;250.0;3.0;4.0;4.0;-;acept;not furnished;R$0;R$4,500;R$334;R$68;R$4,902
193.0;1.0;120.0;3.0;1.0;0.0;2;acept;not furnished;R$250;R$1,460;R$0;R$21;R$1,731
194.0;1.0;110.0;2.0;2.0;2.0;-;not acept;not furnished;R$0;R$2,700;R$300;R$41;R$3,041
195.0;1.0;400.0;2.0;5.0;4.0;-;acept;not furnished;R$0;R$6,000;R$484;R$91;R$6,575
196.0;1.0;35.0;1.0;1.0;1.0;9;not acept;furnished;R$1,050;R$2,600;R$317;R$33;R$4,000
197.0;1.0;107.0;2.0;2.0;2.0;18;acept;furnished;R$1,800;R$12,800;R$417;R$163;R$15,180
198.0;1.0;97.0;2.0;2.0;0.0;1;acept;not furnished;R$1,200;R$5,600;R$0;R$71;R$6,871
199.0;1.0;70.0;2.0;1.0;0.0;1;not acept;not furnished;R$350;R$1,050;R$116;R$14;R$1,530
200.0;1.0;20.0;1.0;1.0;0.0;3;not acept;furnished;R$150;R$3,142;R$67;R$40;R$3,399
201.0;1.0;130.0;3.0;2.0;2.0;6;acept;not furnished;R$1,100;R$3,500;R$209;R$45;R$4,854
202.0;1.0;120.0;3.0;2.0;3.0;16;acept;not furnished;R$1,400;R$2,000;R$292;R$26;R$3,718
203.0;1.0;110.0;3.0;3.0;2.0;2;acept;furnished;R$1,000;R$3,800;R$192;R$49;R$5,041
204.0;1.0;300.0;3.0;5.0;3.0;-;acept;not furnished;R$0;R$11,900;R$250;R$179;R$12,330
205.0;1.0;349.0;4.0;5.0;4.0;8;not acept;not furnished;R$3,100;R$11,000;R$0;R$140;R$14,240
206.0;1.0;97.0;3.0;2.0;2.0;1;acept;not furnished;R$730;R$3,000;R$303;R$39;R$4,072
207.0;1.0;84.0;4.0;1.0;3.0;5;not acept;not furnished;R$1,914;R$6,000;R$804;R$77;R$8,795
208.0;1.0;180.0;2.0;2.0;1.0;-;not acept;not furnished;R$0;R$2,800;R$105;R$43;R$2,948
209.0;1.0;286.0;4.0;4.0;5.0;-;acept;not furnished;R$0;R$10,000;R$1,000;R$151;R$11,150
210.0;1.0;500.0;5.0;7.0;5.0;22;acept;not furnished;R$5,500;R$14,000;R$2,084;R$178;R$21,760
211.0;1.0;110.0;3.0;3.0;3.0;4;acept;not furnished;R$1,195;R$2,350;R$670;R$30;R$4,245
212.0;1.0;196.0;4.0;4.0;0.0;11;acept;not furnished;R$2,450;R$6,000;R$1,458;R$77;R$9,985
213.0;1.0;33.0;1.0;1.0;1.0;12;not acept;not furnished;R$552;R$4,150;R$95;R$53;R$4,850
214.0;1.0;400.0;4.0;4.0;3.0;-;acept;not furnished;Sem info;R$9,000;R$542;R$136;R$9,678
215.0;1.0;170.0;2.0;1.0;0.0;1;acept;furnished;R$0;R$2,481;R$0;R$26;R$2,507
216.0;1.0;90.0;1.0;1.0;0.0;-;acept;not furnished;R$0;R$2,200;R$109;R$34;R$2,343
217.0;1.0;184.0;3.0;4.0;3.0;12;acept;not furnished;R$2,700;R$1,400;R$692;R$18;R$4,810
218.0;1.0;117.0;2.0;2.0;1.0;11;not acept;furnished;R$630;R$7,130;R$150;R$91;R$8,001
219.0;1.0;11.0;1.0;1.0;0.0;-;not acept;furnished;R$0;R$1,181;R$0;R$15;R$1,196
220.0;0.0;57.0;1.0;1.0;1.0;2;acept;not furnished;R$605;R$800;R$66;R$11;R$1,482
221.0;1.0;16.0;1.0;1.0;0.0;1;not acept;not furnished;R$0;R$850;R$30;R$11;R$891
222.0;1.0;180.0;4.0;3.0;1.0;4;acept;furnished;R$1,572;R$5,000;R$240;R$64;R$6,876
223.0;1.0;250.0;3.0;4.0;2.0;16;acept;not furnished;R$3,300;R$6,000;R$517;R$77;R$9,894
224.0;1.0;220.0;3.0;4.0;2.0;-;acept;furnished;R$0;R$7,000;R$434;R$106;R$7,540
225.0;1.0;360.0;3.0;5.0;4.0;22;acept;not furnished;R$2,398;R$3,135;R$1,467;R$40;R$7,040
226.0;1.0;122.0;3.0;4.0;3.0;5;acept;not furnished;Incluso;R$4,500;R$0;R$58;R$4,558
227.0;1.0;138.0;3.0;4.0;3.0;2;not acept;not furnished;R$790;R$7,000;R$690;R$89;R$8,569
228.0;1.0;110.0;3.0;1.0;1.0;1;acept;not furnished;R$1,235;R$1,400;R$0;R$18;R$2,653
229.0;1.0;220.0;4.0;3.0;3.0;3;acept;not furnished;R$1,600;R$3,400;R$0;R$44;R$5,044
230.0;1.0;118.0;3.0;2.0;1.0;11;not acept;not furnished;R$1,116;R$4,775;R$185;R$61;R$6,137
231.0;1.0;180.0;2.0;2.0;1.0;15;acept;not furnished;R$1,800;R$5,350;R$0;R$68;R$7,218
232.0;1.0;52.0;2.0;1.0;1.0;7;acept;not furnished;R$540;R$1,300;R$63;R$17;R$1,920
233.0;1.0;30.0;1.0;1.0;0.0;1;acept;furnished;R$0;R$1,550;;R$20;R$1,591
234.0;1.0;160.0;3.0;3.0;2.0;5;acept;furnished;R$1,650;R$1,500;R$419;R$20;R$3,589
235.0;0.0;209.0;3.0;3.0;2.0;-;not acept;not furnished;R$593;R$2,550;R$237;R$39;R$3,419
236.0;1.0;450.0;5.0;5.0;6.0;-;acept;not furnished;R$0;R$9,500;R$1,345;R$143;R$10,990
